大白菜,0.3,0.4
娃娃菜,0.5,0.6
小白菜,3.0,3.5
圆白菜,0.8,1.0
紫甘蓝,0.8,0.9
芹菜,1.5,1.8
西芹,1.8,2.2
菠菜,2.0,3.0
莴笋,0.8,1.3
团生菜,1.0,1.5
散叶生菜,1.8,2.2
罗马生菜,1.8,2.2
油菜,2.5,3.0
香菜,3.0,4.5
茴香,3.5,4.0
韭菜,2.0,2.8
苦菊,3.5,5.5
油麦菜,2.5,3.0
散菜花,1.8,3.0
绿菜花,1.5,2.2
绿豆芽,0.95,1.0
黄豆芽,0.85,0.9
番茄,1.5,2.0
番茄,2.2,2.6
番茄,2.4,2.8
黄瓜,2.0,3.0
黄瓜,2.7,3.5
小黄瓜,3.8,6.0
茄子,1.5,2.3
长茄,1.8,3.0
线茄,1.2,2.3
广茄,1.5,2.3
冬瓜,0.6,0.8
冬瓜,0.4,0.6
毛冬瓜,0.6,0.9
架豆,3.0,4.0
豆王,3.5,6.5
扁豆,2.0,4.0
豇豆,3.0,3.8
白不老,3.0,5.5
